ni	你	1000
ni	呢	150
nihao	你好	2200
nimen	你们	1200
nin	您	980
wo	我	1200
women	我们	1600
wode	我的	1400
ta	他	1100
ta	她	980
tamen	他们	960
shi	是	1500
de	的	1450
le	了	1420
zai	在	1400
you	有	1300
meiyou	没有	1180
bu	不	1380
bushi	不是	1260
hao	好	980
henhao	很好	1200
keyi	可以	1220
bucuo	不错	1100
zhende	真的	1050
zhidao	知道	1280
juede	觉得	1190
xiwang	希望	980
xuyao	需要	1250
xiang	想	1260
xiangyao	想要	920
xiangxin	相信	860
gaosu	告诉	930
fasheng	发生	850
gongzuo	工作	1400
xuexi	学习	1320
shenghuo	生活	1200
shijie	世界	1400
zhongguo	中国	1800
zhongwen	中文	1400
hanyu	汉语	1080
hanzi	汉字	980
shuru	输入	1200
shurufa	输入法	1650
zhineng	智能	880
zhinengshuru	智能输入	820
pinyin	拼音	1720
pinyinfangan	拼音方案	640
houxuan	候选	760
houxuanchuang	候选窗	560
gongcheng	工程	900
gongchengshi	工程师	980
chengxu	程序	1080
chengxuyuan	程序员	960
daima	代码	1460
biancheng	编程	1320
ruanjian	软件	1120
yingjian	硬件	760
kaifa	开发	1480
ceshi	测试	1240
tiaoshi	调试	980
bug	BUG	700
xiufu	修复	860
jiaoben	脚本	810
goujian	构建	920
bianyi	编译	1020
liandong	联调	730
fabu	发布	880
anzhuang	安装	1010
xiezuo	写作	850
wenzhang	文章	990
duanluo	段落	640
wenjian	文件	1310
wen档	文档	0
wendang	文档	1260
beizhu	备注	640
zhushi	注释	930
tiwen	提问	720
huida	回答	760
wenti	问题	1380
jiejue	解决	1220
jieguo	结果	1160
yuanyin	原因	910
fangfa	方法	980
celue	策略	760
zhunbei	准备	720
kaishi	开始	1180
jixu	继续	1120
wancheng	完成	1250
zhichi	支持	1110
gengxin	更新	960
banben	版本	820
peizhi	配置	920
yinzhi	音质	100
yinsi	隐私	760
bendi	本地	1180
yun	云	820
yunduan	云端	740
moxing	模型	1020
tuijian	推荐	910
buhui	不会	880
kabao	卡爆	320
chongqi	重启	760
fuwu	服务	980
fuwuqi	服务器	910
jiankang	健康	760
jiancha	检查	780
zhuangtai	状态	880
shibai	失败	840
chenggong	成功	1180
yichang	异常	760
chaoshi	超时	680
quxiao	取消	760
zhongduan	中断	630
huifu	恢复	810
huancun	缓存	720
xingneng	性能	960
yanchi	延迟	760
liucheng	流程	760
wenben	文本	1320
changju	长句	540
duanju	短句	520
juzi	句子	1120
changwen	长文	560
zhishi	知识	810
gongju	工具	920
notepad	记事本	780
liulanqi	浏览器	820
edge	Edge	700
chrome	Chrome	700
vscode	VS Code	760
commit	提交	720
message	消息	880
issue	Issue	420
alpha	Alpha	380
